fips,Percent-of-Population-Under-15-(2017-2021),Percent-of-Population-Aged-15-to-64-(2017-2021),Percent-of-Population-65+-(2017-2021),Percent-of-Population-White-(non-Hispanic)-(2017-2021),Percent-of-Populaiton-Black-(non-Hispanic)-(2017-2021),Percent-of-Population-Hispanic-or-Latino-(2017-2021),Percent-of-Population-Asian-(non-Hispanic)-(2017-2021),Percent-of-Population-Native-American/Alaska-Native-(non-Hispanic)-(2017-2021),Percent-of-Population-Native-Hawaiian/Pacific-Islander-(2017-2021),Percent-of-Population-Aged-25+-who-Have-at-Least-a-High-School-Diploma-(2017-2021),Percent-of-Population-Aged-25+-who-Have-a-Bachelor's-Degree-or-More-(2017-2021),Poverty-Rate-(2017-2021),Median-Household-Income-(2017-2021),Unemployment-Rate-(2017-2021),Percent-of-Residents-with-a-Disability-(Aged-18-64)-(2017-2021),%-of-households-with-broadband-internet-connection-(2017-2021),Percent-of-Popualtion-Employed-in-Mining-and-Natural-Resources-(2017-2021),Percent-of-Popualtion-Employed-in-Construction-(2017-2021),Percent-of-Popualtion-Employed-in-Manufacturing-(2017-2021),Percent-of-Popualtion-Employed-in-Trade-Transporation-and-Utilities-(2017-2021),Number-of-Substance-Use-Facilities-(As-of-March-2023),Number-of-Mental-Health-Facilities-(As-of-March-2023),MDsPerCapita,Urbanicity,Social-Resilience-Score,Economic-Risk-Score,Social-Risk-Score,Economic-Resilience-Score,Prosperity-Index-Score,death-rate-2018-2021
1001,0.4563159318366243,0.668600154679041,0.22122434017595305,0.7294034805351574,0.22620689655172413,0.03105273874974547,0.024246395806028834,0.001947085099072271,0.0,0.8786905497220507,0.357433290978399,0.21411276374956767,0.32603498625744387,0.08698334361505244,0.2839931153184165,0.7996696944673825,0.03207620528771384,0.05663284962116348,0.1774031202818319,0.2846599131693199,0.0,0.0,0.02773321109328444,1.0,0.75,0.25,0.25,1.0,0.5,0.033933446671065896
1003,0.4222342439816067,0.5873936581593193,0.3214809384164222,0.8246655266069812,0.09988505747126437,0.047648136835675016,0.020969855832241154,0.005383117626846868,0.0,0.896355775169858,0.41232528589580686,0.13836042891732966,0.3381026683463124,0.11381863047501543,0.2076878944348824,0.8393063583815029,0.021189735614307932,0.0738410170797483,0.069073980875692,0.342836468885673,0.010169491525423728,0.005050505050505051,0.05745282298112919,1.0,0.5,0.0,0.25,0.25,0.25,0.12374650166859968
1005,0.40870976467406006,0.6278035576179427,0.29215542521994126,0.4428125943064078,0.543103448275862,0.04744451231928325,0.009174311926605505,0.003206963692589623,0.0,0.7068560840024707,0.14167725540025414,0.437046004842615,0.1382343678424187,0.26588525601480567,0.28590552686938225,0.45532617671346,0.07445567651632971,0.02388596378579684,0.3676396577755411,0.2557163531114327,0.003389830508474576,0.005050505050505051,0.0,0.0,1.0,1.0,0.5,0.75,1.0,0.07823943942240576
1007,0.3903164728157965,0.6983758700696056,0.23771994134897353,0.7389598631928378,0.25160919540229887,0.02881286906943596,0.0045871559633027525,0.0010308097583323788,0.0,0.7670166769610871,0.15133418043202032,0.27222414389484606,0.2660329821346771,0.2995064774830352,0.41900937081659967,0.6203137902559869,0.03304821150855366,0.19468344677025815,0.1465777554101661,0.2949348769898698,0.0,0.0,0.06769042707617083,1.0,0.75,0.75,0.75,0.5,0.75,0.09797578678561623
1009,0.46010278604273724,0.6111755607115235,0.27309384164222866,0.8583643496630118,0.014597701149425288,0.0970270820606801,0.008082131935342945,0.0013744130111098384,0.007798440311937613,0.8054354539839408,0.18932655654383734,0.20823244552058112,0.25567596197892806,0.18568784700801974,0.28686173264486514,0.7253509496284063,0.017884914463452566,0.0829587774495955,0.1922496225465526,0.28596237337192476,0.003389830508474576,0.005050505050505051,0.0,1.0,1.0,0.25,0.5,1.0,0.75,0.08576891290309997
1011,0.4812009737625101,0.6303170920340293,0.24046920821114362,0.1989739462830701,0.7928735632183908,0.08704948075748321,0.00961118392311053,0.0,0.0,0.7308214947498456,0.14853875476493011,0.5141819439640264,0.0855617269812185,0.09253547193090685,0.2547332185886403,0.3697770437654832,0.03576982892690513,0.0,0.2654755913437343,0.14081041968162084,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.08456897105649598
1013,0.45550446307817144,0.5593580819798918,0.32514662756598234,0.506287093853737,0.5148275862068966,0.016391773569537773,0.031891655744866756,0.002863360439812164,0.0,0.829030265596047,0.1783989834815756,0.29367001037703216,0.20132128950984884,0.20203578038247996,0.26525148211895194,0.6490503715937243,0.056181959564541216,0.0403236162835495,0.25616507297433316,0.30810419681620843,0.0,0.020202020202020204,0.0,0.0,0.75,0.5,0.75,0.75,0.75,0.08013572459448677
1015,0.42737354611847433,0.6401778808971383,0.26777859237536655,0.7117996177446937,0.24183908045977012,0.040623091020158826,0.0163826998689384,0.0018325506814797848,0.009598080383923216,0.8247066090179123,0.24815756035578143,0.2826011760636458,0.2424129638112689,0.21622455274521898,0.35762096003059857,0.7354252683732453,0.009525660964230171,0.02850905355078978,0.1864620030196276,0.2874095513748191,0.010169491525423728,0.015151515151515152,0.07250362900145162,1.0,0.75,0.5,0.5,0.75,0.75,0.0678977882779678
1017,0.413037598052475,0.6133023975251352,0.30296920821114365,0.5455185595010562,0.4606896551724138,0.027692934229281204,0.02249890782000874,0.002176153934257244,0.000599880023995201,0.7946880790611488,0.17344345616264295,0.23988239363542027,0.21560782180485571,0.09716224552745219,0.3321858864027538,0.6620974401321222,0.045878693623639194,0.037626813920636965,0.3121540010065425,0.24819102749638208,0.0,0.0,0.022461608984643597,0.0,1.0,0.5,0.75,1.0,0.75,0.05673336396087522
1019,0.36597241006221254,0.5839133797370455,0.36271994134897356,0.908761693994568,0.05310344827586207,0.01802076970067196,0.0024027959807776324,0.0026342916046271903,0.0,0.7581222977146387,0.16289707750952986,0.23815288827395364,0.18871678882272103,0.14497223935842074,0.33275960986804354,0.654500412881916,0.07737169517884915,0.01849235905997175,0.2271011575239054,0.3374819102749638,0.006779661016949152,0.010101010101010102,0.058980823592329444,0.0,0.75,0.25,0.75,0.75,0.75,0.07912912914469118
