Pattern_id,Feature_ID,UB,LB
0,f10,inf,0.9413000345230103
0,f18,0.016699999570846558,-inf
1,f10,inf,0.9413000345230103
1,f27,2.3729703426361084,1.5
1,f14,0.036250002682209015,-inf
2,f22,inf,4.0
2,f27,3.5,2.8729703426361084
2,f1,0.1964000016450882,0.11554999649524689
3,f10,inf,0.9413000345230103
3,f7,0.0024999999441206455,0.0
4,f10,inf,0.9413000345230103
4,f25,3.146768569946289,2.5
5,f22,inf,4.0
5,f9,0.0005000000237487257,4.999999873689376e-05
5,f15,inf,0.10854999721050262
5,f17,0.006850000005215406,-inf
6,f10,inf,0.9413000345230103
6,f1,inf,0.1964000016450882
7,f22,inf,4.0
7,f27,3.5,2.8729703426361084
8,f22,inf,4.0
8,f9,0.0,0.0
9,f10,inf,0.9413000345230103
9,f27,2.3729703426361084,1.5
10,f22,inf,4.0
10,f3,inf,0.20029999315738678
11,f10,inf,0.9413000345230103
11,f9,0.0,0.0
11,f13,71653.0,-inf
12,f10,inf,0.9413000345230103
12,f21,0.0,-inf
13,f10,inf,0.9413000345230103
13,f11,0.2839999794960022,-inf
14,f10,inf,0.9413000345230103
14,f22,0.0,-inf
15,f10,inf,0.9413000345230103
15,f23,1.1150000095367432,-inf
16,f10,inf,0.9413000345230103
16,f17,inf,0.02160000056028366
17,f10,inf,0.9413000345230103
17,f5,0.007499999832361937,-inf
18,f22,inf,4.0
18,f15,inf,0.10854999721050262
18,f17,0.006850000005215406,-inf
19,f10,inf,0.9413000345230103
19,f9,0.0,0.0
20,f10,inf,0.9413000345230103
20,f24,,
21,f22,inf,4.0
21,f15,inf,0.10854999721050262
21,f8,0.002099999925121665,0.00019999999494757503
22,f10,inf,0.9413000345230103
22,f13,71653.0,-inf
23,f10,inf,0.9413000345230103
23,f14,0.036250002682209015,-inf
24,f22,inf,4.0
24,f9,0.0005000000237487257,4.999999873689376e-05
24,f17,0.006850000005215406,-inf
25,f10,inf,0.9413000345230103
25,f21,2.0,0.0
26,f10,inf,0.9413000345230103
26,f22,2.0,0.0
27,f22,inf,4.0
27,f9,0.0005000000237487257,4.999999873689376e-05
27,f1,0.1964000016450882,0.11554999649524689
28,f22,inf,4.0
28,f15,inf,0.10854999721050262
28,f1,0.1964000016450882,0.11554999649524689
29,f14,0.036250002682209015,-inf
29,f1,inf,0.1964000016450882
30,f22,inf,4.0
30,f9,0.0005000000237487257,4.999999873689376e-05
31,f22,inf,4.0
31,f8,0.002099999925121665,0.00019999999494757503
31,f1,0.1964000016450882,0.11554999649524689
32,f22,inf,4.0
32,f15,inf,0.10854999721050262
33,f10,inf,0.9413000345230103
34,f22,inf,4.0
34,f17,0.006850000005215406,-inf
35,f1,inf,0.1964000016450882
35,f15,0.10854999721050262,-inf
36,f22,inf,4.0
36,f8,0.002099999925121665,0.00019999999494757503
37,f17,0.006850000005215406,-inf
37,f8,0.002099999925121665,0.00019999999494757503
37,f1,0.1964000016450882,0.11554999649524689
38,f1,inf,0.1964000016450882
38,f2,0.6165499687194824,-inf
39,f17,0.006850000005215406,-inf
39,f24,,
39,f1,0.1964000016450882,0.11554999649524689
40,f17,0.006850000005215406,-inf
40,f21,inf,2.0
40,f1,0.1964000016450882,0.11554999649524689
41,f22,inf,4.0
41,f1,0.1964000016450882,0.11554999649524689
42,f17,0.006850000005215406,-inf
42,f3,0.20029999315738678,0.1282999962568283
42,f14,0.1156499981880188,0.036250002682209015
43,f17,0.006850000005215406,-inf
43,f8,0.002099999925121665,0.00019999999494757503
44,f17,0.006850000005215406,-inf
44,f1,0.1964000016450882,0.11554999649524689
44,f14,0.1156499981880188,0.036250002682209015
45,f17,0.006850000005215406,-inf
45,f24,,
46,f17,0.006850000005215406,-inf
46,f3,0.20029999315738678,0.1282999962568283
47,f17,0.006850000005215406,-inf
47,f21,inf,2.0
48,f22,inf,4.0
49,f17,0.006850000005215406,-inf
49,f1,0.1964000016450882,0.11554999649524689
50,f17,0.006850000005215406,-inf
50,f14,0.1156499981880188,0.036250002682209015
51,f14,0.036250002682209015,-inf
52,f17,0.006850000005215406,-inf
53,f1,inf,0.1964000016450882
54,f23,1.1150000095367432,-inf
55,f21,inf,2.0
56,f17,inf,0.02160000056028366
57,f23,inf,1.1150000095367432
57,f1,0.1964000016450882,0.11554999649524689
58,f23,inf,1.1150000095367432
59,f21,2.0,0.0
60,f1,0.1964000016450882,0.11554999649524689
61,f14,0.1156499981880188,0.036250002682209015
62,f22,2.0,0.0
