fips,Percent-of-Population-Under-15-(2017-2021),Percent-of-Population-Aged-15-to-64-(2017-2021),Percent-of-Population-65+-(2017-2021),Percent-of-Population-White-(non-Hispanic)-(2017-2021),Percent-of-Populaiton-Black-(non-Hispanic)-(2017-2021),Percent-of-Population-Hispanic-or-Latino-(2017-2021),Percent-of-Population-Asian-(non-Hispanic)-(2017-2021),Percent-of-Population-Native-American/Alaska-Native-(non-Hispanic)-(2017-2021),Percent-of-Population-Native-Hawaiian/Pacific-Islander-(2017-2021),Percent-of-Population-Aged-25+-who-Have-at-Least-a-High-School-Diploma-(2017-2021),Percent-of-Population-Aged-25+-who-Have-a-Bachelor's-Degree-or-More-(2017-2021),Poverty-Rate-(2017-2021),Median-Household-Income-(2017-2021),Unemployment-Rate-(2017-2021),Percent-of-Residents-with-a-Disability-(Aged-18-64)-(2017-2021),%-of-households-with-broadband-internet-connection-(2017-2021),Percent-of-Popualtion-Employed-in-Mining-and-Natural-Resources-(2017-2021),Percent-of-Popualtion-Employed-in-Construction-(2017-2021),Percent-of-Popualtion-Employed-in-Manufacturing-(2017-2021),Percent-of-Popualtion-Employed-in-Trade-Transporation-and-Utilities-(2017-2021),Number-of-Substance-Use-Facilities-(As-of-March-2023),Number-of-Mental-Health-Facilities-(As-of-March-2023),MDsPerCapita,Urbanicity,Social-Resilience-Score,Economic-Risk-Score,Social-Risk-Score,Economic-Resilience-Score,Prosperity-Index-Score,death-rate-2018-2021
1001,0.1895,0.6591,0.1514,0.731,0.1968,0.0305,0.0111,0.0017,0,0.8958,0.2813,0.1358,62660,0.0282,0.1485,0.8546,0.0165,0.0441,0.141,0.1967,0,0,3.63,Urban,4,2,2,5,3,15.45356205
1003,0.1769,0.6171,0.2061,0.8257,0.0869,0.0468,0.0096,0.0047,0,0.9101,0.3245,0.092,64346,0.0369,0.1086,0.8786,0.0109,0.0575,0.0549,0.2369,3,1,7.52,Urban,3,1,2,2,2,56.35514307
1005,0.1719,0.638,0.1901,0.4461,0.4725,0.0466,0.0042,0.0028,0,0.7567,0.1115,0.2647,36422,0.0862,0.1495,0.6461,0.0383,0.0186,0.2922,0.1767,1,1,0,Rural,5,5,3,4,5,35.63086425
1007,0.1651,0.6745,0.1604,0.7405,0.2189,0.0283,0.0021,0.0009,0,0.8054,0.1191,0.1694,54277,0.0971,0.2191,0.746,0.017,0.1516,0.1165,0.2038,0,0,8.86,Urban,4,4,4,3,4,44.61895413
1009,0.1909,0.6294,0.1797,0.8592,0.0127,0.0953,0.0037,0.0012,0.0013,0.8365,0.149,0.1324,52830,0.0602,0.15,0.8096,0.0092,0.0646,0.1528,0.1976,1,1,0,Urban,5,2,3,5,4,39.05984648
1011,0.1987,0.6393,0.1619,0.2037,0.6898,0.0855,0.0044,0,0,0.7761,0.1169,0.3093,29063,0.03,0.1332,0.5943,0.0184,0,0.211,0.0973,0,0,0,Rural,5,5,3,5,5,38.5133834
1013,0.1892,0.6026,0.2081,0.5092,0.4479,0.0161,0.0146,0.0025,0,0.8556,0.1404,0.1818,45236,0.0655,0.1387,0.7634,0.0289,0.0314,0.2036,0.2129,0,4,0,Rural,4,3,4,4,4,36.49444763
1015,0.1788,0.6444,0.1768,0.7135,0.2104,0.0399,0.0075,0.0016,0.0016,0.8521,0.1953,0.1754,50977,0.0701,0.187,0.8157,0.0049,0.0222,0.1482,0.1986,3,3,9.49,Urban,4,3,3,4,4,30.9211939
1017,0.1735,0.6305,0.196,0.5482,0.4008,0.0272,0.0103,0.0019,0.0001,0.8278,0.1365,0.1507,47232,0.0315,0.1737,0.7713,0.0236,0.0293,0.2481,0.1715,0,0,2.94,Rural,5,3,4,5,4,25.83682609
1019,0.1561,0.6153,0.2286,0.9093,0.0462,0.0177,0.0011,0.0023,0,0.7982,0.1282,0.1497,43475,0.047,0.174,0.7667,0.0398,0.0144,0.1805,0.2332,2,2,7.72,Rural,4,2,4,4,4,36.03603604
1021,0.1962,0.6395,0.1643,0.7927,0.0883,0.0795,0.0047,0.0004,0,0.8176,0.1354,0.1572,56243,0.064,0.2008,0.7825,0.0144,0.0637,0.21,0.2284,2,1,2.28,Urban,5,2,4,4,4,51.27404864
1023,0.1639,0.6082,0.228,0.5645,0.4124,0.0108,0.0012,0.0005,0,0.8058,0.1171,0.2157,38581,0.0605,0.2102,0.6373,0.0393,0,0,0.2324,1,1,0,Rural,4,5,3,4,4,39.08692933
1025,0.1814,0.6212,0.1974,0.5152,0.4533,0.014,0.0045,0.0011,0,0.8222,0.1389,0.2191,44108,0.1223,0.1834,0.6779,0.0405,0.0185,0.2097,0.2147,1,1,8.05,Rural,4,5,5,4,4,38.55050116
1027,0.1776,0.6207,0.2017,0.8041,0.1328,0.0312,0.0025,0,0,0.8301,0.1338,0.1693,45163,0.0612,0.1667,0.734,0.0138,0.0087,0.528,0.0844,1,0,22.25,Rural,5,3,4,4,4,35.25098703
1029,0.19,0.6181,0.1919,0.924,0.026,0.0265,0.0001,0.0014,0,0.8306,0.1638,0.1418,48333,0.0447,0.1972,0.7279,0.0376,0.1128,0.1396,0.1708,0,1,0,Rural,5,2,4,4,4,33.23142363
1031,0.1965,0.6345,0.169,0.6914,0.1617,0.0807,0.0144,0.0068,0.0001,0.8636,0.2268,0.1594,59034,0.0509,0.1734,0.8384,0.0356,0.0246,0.2104,0.1893,0,1,3.92,Rural,4,2,3,4,3,16.9673661
